km	time	timeBack	lat	lon
178	1443955726530	1443965500332	49.217867	16.407235
179	1443955773980	1443965453736	49.211135	16.415951
180	1443955818230	1443965407042	49.202810	16.421103
181	1443955863923	1443965360429	49.195709	16.429460
182	1443955909218	1443965314029	49.19055	16.440625
183	1443955952051	1443965271727	49.187333	16.453488
184	1443955990107	1443965233930	49.184924	16.466885
185	1443956028103	1443965197731	49.182134	16.479992
186	1443956066238	1443965148037	49.177995	16.492041
187	1443956106332	1443965102133	49.175420	16.504931
188	1443956147512	1443965058731	49.171895	16.517442
189	1443956192306	1443965017133	49.169790	16.530718
190	1443956244396	1443964971527	49.167533	16.543993
191	1443956292121	1443964915047	49.163767	16.556377
192	1443956333804	1443964867066	49.160651	16.569189
193	1443956333804	1443964818687	49.160651	16.569189
